Witness,CPAChecker,Ult. Auto.,CPA-w2t,FShell-w2t,Nitwit
935,0,0,0,2,0
936,0,0,0,2,0
937,0,0,0,2,0
938,0,0,0,2,0
939,0,0,0,2,0
940,0,0,0,2,0
941,0,0,0,2,0
942,0,0,0,2,0
943,0,0,0,2,0
944,0,0,0,2,0
945,0,0,0,2,0
946,0,0,0,2,0
947,0,0,0,2,0
948,0,0,0,2,0
949,0,0,0,2,0
950,0,0,0,2,0
951,0,0,0,2,0
952,0,0,0,2,0
953,0,0,0,2,0
954,0,0,0,2,0
955,0,0,0,2,0
956,0,0,0,2,0
957,0,0,0,2,0
958,0,0,0,2,0
959,0,0,0,2,0
960,0,0,0,2,0
961,0,3,0,2,0
962,0,3,0,0,0
963,0,3,0,2,0
964,0,3,0,2,0
965,0,3,0,0,0
966,0,3,0,2,0
967,0,3,0,2,0
968,0,3,0,2,0
969,0,3,0,0,0
970,0,3,0,2,0
971,0,3,0,0,0
972,0,3,0,0,0
973,0,3,0,2,0
974,0,3,0,2,0
975,0,3,0,0,0
976,0,3,0,2,0
977,0,3,0,2,0
978,0,3,0,2,0
979,0,3,0,2,0
980,0,3,0,0,0
981,0,3,0,2,0
982,0,3,0,0,0
983,0,3,0,2,0
984,0,3,0,0,0
985,0,3,3,0,0
986,0,3,3,0,0
987,0,3,3,0,0
988,0,3,3,0,0
989,0,3,3,0,0
990,0,3,3,0,0
991,0,3,3,0,0
992,0,3,3,0,0
993,0,3,3,0,0
994,0,3,3,0,0
995,0,3,3,0,0
996,0,3,3,0,0
997,0,3,3,0,0
998,0,3,3,0,0
999,0,3,3,0,0
1000,0,3,3,0,0
1001,0,3,3,0,0
1002,0,3,3,0,0
1003,0,3,3,0,0
1004,0,3,3,0,0
1005,0,3,3,0,0
1006,0,3,3,0,0
1007,0,3,3,0,0
1008,0,3,3,0,0
1009,0,3,3,0,0
1010,0,3,3,0,0
1011,0,3,3,0,0
1012,0,3,3,0,0
1013,0,3,3,0,0
1014,0,3,3,0,0
1015,0,3,3,0,0
1016,0,3,3,0,0
1017,0,3,3,0,0
1018,0,3,3,0,0
1019,0,3,3,0,0
1020,0,3,3,0,0
1021,0,3,3,0,0
1022,0,3,3,0,0
1023,0,3,3,2,0
1024,0,0,3,2,0
1025,0,3,3,0,0
1026,0,3,3,0,0
1027,0,3,3,0,0
1028,0,3,3,0,0
1029,0,0,3,2,0
1030,0,3,3,0,0
1031,0,3,3,2,0
1032,0,3,3,0,0
1033,0,3,3,0,0
1034,0,0,0,2,0
1035,0,0,0,2,0
1036,0,0,0,2,0
1037,0,0,0,2,0
1038,0,0,0,2,0
1039,0,0,0,2,0
1040,0,0,0,2,0
1041,0,0,0,2,0
1042,0,0,0,2,0
1043,0,0,0,2,0
1044,0,0,0,2,0
1045,0,0,0,2,0
1046,0,0,0,2,0
1047,0,0,0,2,0
1048,0,0,0,2,0
1049,0,0,0,2,0
1050,0,0,0,2,0
1051,0,0,0,2,0
1052,0,0,0,2,0
1053,0,0,0,2,0
1054,0,0,0,2,0
1055,0,0,0,2,0
1056,0,0,0,2,0
1057,0,0,0,2,0
1058,0,0,0,2,0
1059,0,0,0,2,0
1060,0,0,0,2,0
1061,0,0,0,2,0
1062,0,0,0,2,0
1063,0,0,0,2,0
1064,0,0,0,2,0
1065,0,0,0,2,0
1066,0,0,0,2,0
1067,0,0,0,2,0
1068,0,0,0,2,0
1069,0,0,0,2,0
1070,0,0,0,2,0
1071,0,0,0,2,0
1072,0,0,0,2,0
1073,0,0,0,2,0
1074,0,0,0,2,0
1075,0,0,0,2,0
1076,0,0,0,2,0
1077,0,0,0,2,0
1078,0,0,0,2,0
1079,0,0,0,2,0
1080,0,0,0,2,0
1081,0,0,0,2,0
1082,0,0,0,2,0
1083,0,0,0,2,0
1084,0,0,0,2,0
1085,0,0,0,2,0
1086,0,0,0,2,0
1087,0,0,0,2,0
1088,0,0,0,2,0
1089,0,0,0,2,0
1090,0,0,0,2,0
1091,0,0,0,2,0
1092,0,0,0,2,0
1093,0,0,0,2,0
1094,0,0,0,2,0
1095,0,0,0,2,0
1096,0,0,0,2,0
1097,0,0,0,2,0
1098,0,0,0,2,0
1099,0,0,0,2,0
1100,0,0,0,2,0
1101,0,0,0,2,0
1102,0,0,0,2,0
1103,0,0,0,2,0
1104,0,0,0,2,0
1105,0,0,0,2,0
1106,0,0,0,2,0
1107,0,0,0,2,0
1108,0,0,0,2,0
1109,0,0,0,2,0
1110,0,0,0,2,0
1111,0,0,0,2,0
1112,0,0,0,2,0
1113,0,0,0,2,0
1114,0,0,0,2,0
1115,0,0,0,2,0
1116,0,0,0,2,0
1117,0,0,0,2,0
1118,0,0,0,2,0
1119,0,0,0,2,0
1120,0,0,0,2,0
1121,0,0,0,2,0
1122,0,0,0,2,0
1123,0,0,0,2,0
1124,0,0,0,2,0
1125,0,0,0,2,0
1126,0,0,0,2,0
1127,0,0,0,2,0
1128,0,0,0,2,0
1129,0,0,0,2,0
1130,0,0,0,2,0
1131,0,0,0,2,0
1132,0,0,0,2,0
1133,0,0,0,2,0
1134,0,0,0,2,0
1135,0,0,0,2,0
1136,0,0,0,2,0
1137,0,0,0,2,0
1138,0,0,0,2,0
1139,0,0,0,2,0
